mmc_code,name,generic_name,mmc_type,price_low,price_high,as_of,search_category,matched_terms
272,ACHILLES TENDOSCOPY - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),45000,80000,"August 31, 2023",procedure,ENDOSCOPY
367,ANGIOGRAM - RADIOLOGY,,CLINICAL SERVICES (PROF FEE),30000,100000,"August 31, 2023",radiologic,ANGIOGRAM
436,ANGIOGRAM / VENOGRAM - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),12000,25000,"August 31, 2023",radiologic,ANGIOGRAM
472,ANGIOGRAM / VENOGRAM - SURGERY,,CLINICAL SERVICES (PROF FEE),30000,50000,"October 21, 2023",radiologic,ANGIOGRAM
500,AORTIC REPLACEMENT FOR RUPTURE OR DISSECTION VIA STERNOTOMY OR THORACOTOMY - SURGERY,,CLINICAL SERVICES (PROF FEE),600000,950000,"August 31, 2023",procedure,THORACOTOMY
88,ASSISTED VAGINAL DELIVERY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),10000,100000,"August 31, 2023",procedure,DELIVERY
114,ASSISTED VAGINAL DELIVERY - OBSTETRICS AND GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),15000,200000,"August 31, 2023",procedure,DELIVERY
284,BIOPSY (PUNCH) - OTORHINOLARYNGOLOGY,,CLINICAL SERVICES (PROF FEE),5000,8000,"August 31, 2023",procedure,BIOPSY
15,BIOPSY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),6000,20000,"August 31, 2023",procedure,BIOPSY
502,BIOPSY - DENTAL MEDICINE (ORAL MAXILLO FACIAL SURGERY),,CLINICAL SERVICES (PROF FEE),15000,40000,"August 31, 2023",procedure,BIOPSY
619,BONE MARROW ASPIRATION AND BIOPSY - HEMATOLOGY,,CLINICAL SERVICES (PROF FEE),15000,20000,"August 31, 2023",procedure,BIOPSY
5,BONE MARROW ASPIRATION WITH/WITHOUT BIOPSY - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),7500,15000,"August 31, 2023",procedure,BIOPSY
