mmc_code,mmc_name,price_low,price_high,proposed_rvs,proposed_procedure,case_rate,confidence,why,alternatives
18170004,PICC LINE INSERTION PACKAGE,47300,57300,36568,INSERTION OF PERIPHERALLY INSERTED CENTRAL VENOUS CATHETER (PICC),18915.00,REVIEW,,"58300=P3,900 | 51010=P11,076 | 20650=P15,639"
18170002,PORTA CATHETER INSERTION PACKAGE OUP,93400,93400,51010,ASPIRATION OF BLADDER; BY TROCAR OR INTRACATHETER W/ INSERTION OF SUPRAPUBIC CATHETER,11076.00,REVIEW,,"49420=P16,107 | 36568=P18,915 | 93503=P18,915"
18170036,PRECISION CATARACT PHACOEMULSIFICATION PER EYE PACKAGE,91600,91600,65205,"REMOVAL OF FOREIGN BODY, EXTERNAL EYE; CONJUNCTIVAL, SUPERFICIAL",975.00,REVIEW,,"75757=P6,825 | 65222=P8,151 | 65210=P8,775"
18170031,PROSTATE BIOPSY PACKAGE,45400,49900,55700,"BIOPSY, PROSTATE; NEEDLE OR PUNCH, SINGLE OR MULTIPLE, ANY APPROACH",18135.00,REVIEW,,"20206=P6,833 | 21920=P6,833 | 23065=P6,833"
18170014,RADIOFREQUENCY ABLATION (RFA) PACKAGE,104600,135100,20982,"ABLATION, BONE TUMOR(S) (E.G., OSTEOID OSTEOMA, METASTASIS) RADIOFREQUENCY, PERCUTANEOUS, INCLUDING COMPUTED TOMOGRAPHIC GUIDANCE",18915.00,REVIEW,,"47380=P18,915 | 47382=P18,915 | 47370=P35,100"
18170007,SHOULDER ARTHROSCOPY PACKAGE,153880,177880,29815,"ARTHROSCOPY, SHOULDER, DIAGNOSTIC, W/ OR W/O SYNOVIAL BIOPSY",35100.00,REVIEW,root match: ARTHROSCOPY,"29822=P40,911 | 29819=P42,783 | 29823=P45,435"
18170041,SLNB MODIFIED RADICAL MASTECTOMY PACKAGE,219600,231000,19240,"MASTECTOMY, MODIFIED RADICAL, INCLUDING AXILLARY LYMPH NODES, W/ OR W/O PECTORALIS MINOR MUSCLE, BUT EXCLUDING PECTORALIS MAJOR MUSCLE",42900.00,high,root match: MASTECTOMY; qualifier match: MODIFIED/RADICAL,"19200=P42,900 | 19220=P42,900 | 19140=P42,900"
18170019,THYROIDECTOMY SURGERY PACKAGE,157500,189400,60260,"THYROIDECTOMY, REMOVAL OF ALL REMAINING THYROID TISSUE FOLLOWING PREVIOUS REMOVAL OF A PORTION OF THYROID",60450.00,REVIEW,root match: THYROIDECTOMY,"60270=P90,675 | 60271=P90,675 | 60240=P60,450"
18170035,TONSILLECTOMY SURGERY PACKAGE,83600,97600,42825,"TONSILLECTOMY, PRIMARY OR SECONDARY",35100.00,high (rates identical),root match: TONSILLECTOMY; candidate adds: PRIMARY,"42820=P35,100"
18170045,TOTAL KNEE REPLACEMENT - BILATERAL PACKAGE,428000,536000,27488,"REMOVAL OF KNEE PROSTHESIS, INCLUDING ""TOTAL KNEE"" METHYLMETHACRYLATE AND INSERTION OF SPACER, WHEN APPLICABLE",72501.00,REVIEW,qualifier match: TOTAL,"27132=P107,406 | 29445=P11,076 | 75662=P18,915"
18170038,TRANSFORAMINAL LUMBAR INTERBODY FUSION PACKAGE,259800,259800,22630,"ARTHRODESIS, POSTERIOR INTERBODY TECHNIQUE, SINGLE INTERSPACE; LUMBAR",78624.00,REVIEW,,"62270=P11,076 | 64862=P40,911 | 49540=P40,950"
18170046,TYMPANOPLASTY - OP LOCAL OUP PACKAGE,89500,140500,,,,none,no candidate,
18170047,TYMPANOPLASTY - WITH SEDATION OUP PACKAGE,101500,152500,,,,none,no candidate,
18170012,TYMPANOPLASTY MASTOIDECTOMY PACKAGE,175120,189120,69604,REVISION MASTOIDECTOMY; RESULTING IN TYMPANOPLASTY,45435.00,REVIEW,root match: MASTOIDECTOMY/TYMPANOPLASTY; candidate bundles extra: REVISION,"69222=P18,915 | 61595=P139,230 | 69220=P15,639"
18170022,VARICOCELECTOMY PACKAGE,83700,110200,,,,none,no candidate,
18170023,VEIN STRIPPING PACKAGE,83100,106600,36510,"CATHETERIZATION OF UMBILICAL VEIN FOR DIAGNOSIS OR THERAPY, NEWBORN",7098.00,REVIEW,,"37565=P11,076 | 36012=P15,639 | 36011=P18,135"
18170013,VIDEO ASSISTED THORACIC SURGERY (VATS) PACKAGE,168700,168700,36217,"SELECTIVE CATHETER PLACEMENT, ARTERIAL SYSTEM; INITIAL THIRD ORDER OR MORE SELECTIVE THORACIC OR BRACHIOCEPHALIC BRANCH, W/IN A VASCULAR FAMILY",15639.00,REVIEW,,"36215=P18,135 | 36216=P18,135 | 75600=P18,915"
